cs_b12900_DNAJC10,DNAJC10
cs_j8976_C1orf135,C1orf135
cs_b5963_C1orf111,C1orf111
cs_j11592_AKNAD1,AKNAD1
cs_b11102_ISOC1,ISOC1
cs_q10121_SPACA3,SPACA3
cs_b8981_TET2,TET2
cs_b5552_RASSF2,RASSF2
cs_q10642_WDR85,WDR85
cs_b9546_IGFBP1,IGFBP1
cs_j10494_TMEM111,TMEM111
cs_j10628_SRP68,SRP68
cs_q8057_C3orf39,C3orf39
cs_j13841_RHOA,RHOA
cs_q7353_TMED2,TMED2
cs_b7068_FAM36A,FAM36A
cs_j4963_MPZL2,MPZL2
cs_b3700_SLC25A36,SLC25A36
cs_b11154_LRRC6,LRRC6
cs_b9754_EIF3L,EIF3L
cs_j9851_C22orf33,C22orf33
cs_q6294_ECSIT,ECSIT
cs_q7824_LIN9,LIN9
cs_j10606_NOX1,NOX1
cs_b10936_DHH,DHH
cs_j8719_TNFRSF6B,TNFRSF6B
cs_j10411_SLC2A6,SLC2A6
cs_j5274_PAFAH1B3,PAFAH1B3
cs_j6222_ERGIC1,ERGIC1
cs_j3566_DRG2,DRG2
cs_b11320_HEATR5A,HEATR5A
cs_j7090_CCNH,CCNH
cs_j12965_PCTP,PCTP
cs_b7037_DAB2,DAB2
cs_b8431_ZNF408,ZNF408
cs_b10599_SOX5,SOX5
cs_b9830_SNCA,SNCA
cs_j4342_RWDD2B,RWDD2B
cs_b5880_SERTAD4,SERTAD4
cs_b11399_ZBTB42,ZBTB42
cs_q6660_ERLIN2,ERLIN2
cs_b10153_FBXL13,FBXL13
cs_q4760_CD27,CD27
cs_j13249_PLXNB1,PLXNB1
cs_j6917_RPL8,RPL8
cs_j6841_RIBC2,RIBC2
cs_b11673_STIP1,STIP1
cs_j13073_C12orf53,C12orf53
cs_q6743_ELMOD1,ELMOD1
cs_b8385_RBM17,RBM17
cs_b5308_SLA,SLA
cs_q10582_TUBA4A,TUBA4A
cs_j9372_DENND2D,DENND2D
cs_q9835_POLI,POLI
cs_b12925_MRPL12,MRPL12
cs_q8887_AMZ1,AMZ1
cs_q5707_RORC,RORC
cs_j9800_GPR161,GPR161
cs_j7974_FCRL2,FCRL2
cs_b5901_MTERFD3,MTERFD3
cs_j10184_RHOBTB3,RHOBTB3
cs_q6410_C5orf64,C5orf64
cs_j11457_CLK3,CLK3
cs_j6567_RAPSN,RAPSN
cs_b5728_USP38,USP38
cs_q7642_DNAJC11,DNAJC11
cs_j13053_CYB5A,CYB5A
cs_j13918_PFKL,PFKL
cs_q6941_GLRA2,GLRA2
cs_q9886_ABHD16A,ABHD16A
cs_b7830_TRIM2,TRIM2
cs_b12378_TUBB3,TUBB3
cs_b5309_CLEC1A,CLEC1A
cs_j13923_PLEKHG6,PLEKHG6
cs_q8342_HCN3,HCN3
cs_b11065_C11orf57,C11orf57
cs_b12267_MYL6,MYL6
cs_q10440_COX5A,COX5A
cs_j8890_PCBP4,PCBP4
cs_q6450_RNASE2,RNASE2
cs_j6224_RALYL,RALYL
cs_j4594_GGH,GGH
cs_j12177_WNT16,WNT16
cs_b6356_MAGIX,MAGIX
cs_j13968_MUSK,MUSK
cs_q10608_FADS3,FADS3
cs_j10580_SLC32A1,SLC32A1
cs_b12027_NANOS2,NANOS2
cs_j11944_GLT1D1,GLT1D1
cs_q6446_SPANXN3,SPANXN3
cs_b4333_GDNF,GDNF
cs_b4627_ORC6,ORC6
cs_b9084_PDE1C,PDE1C
cs_b12386_GALNTL5,GALNTL5
cs_q9898_MUC20,MUC20
cs_q8790_NSFL1C,NSFL1C
cs_q9944_CPNE7,CPNE7
cs_b11359_DEFB127,DEFB127
cs_j9960_ACCN2,ACCN2
cs_j11608_ACOT2,ACOT2
cs_j11479_NPHP3,NPHP3
cs_q6443_CSHL1,CSHL1
cs_j11982_COMMD8,COMMD8
cs_b6144_DDX47,DDX47
cs_b7752_POLL,POLL
cs_q8503_TMC7,TMC7
cs_b10548_GIF,GIF
cs_q7951_SDHB,SDHB
cs_b9301_BCDIN3D,BCDIN3D
cs_b10305_KLC1,KLC1
cs_b7072_FAM189A2,FAM189A2
cs_b4310_FIBIN,FIBIN
cs_b8266_TINAGL1,TINAGL1
cs_q10028_PTP4A2,PTP4A2
cs_j11340_DEPDC7,DEPDC7
cs_q10305_AGR3,AGR3
cs_q10483_CKLF,CKLF
cs_b5822_CCR1,CCR1
cs_j9927_RBM18,RBM18
cs_j9451_MEF2A,MEF2A
cs_q10981_RHOA,RHOA
cs_b12834_CFHR3,CFHR3
cs_j10940_POMC,POMC
cs_j9969_RBM18,RBM18
cs_b9016_RLIM,RLIM
cs_q4465_MEIS2,MEIS2
cs_b3581_C15orf29,C15orf29
cs_b7120_CYP2C18,CYP2C18
cs_q10168_MANF,MANF
cs_j6853_LGALS8,LGALS8
cs_j7644_COL8A2,COL8A2
cs_q7870_ZIM2,ZIM2
cs_q9394_VENTX,VENTX
cs_q10518_CGN,CGN
cs_b3460_NEFL,NEFL
cs_j9515_CPA6,CPA6
cs_j6998_STAC3,STAC3
cs_q4346_C14orf148,C14orf148
cs_q7712_SLC39A9,SLC39A9
cs_j11471_CCNG2,CCNG2
cs_b6994_DCLRE1C,DCLRE1C
cs_b10249_BLMH,BLMH
cs_q7857_ZNF324B,ZNF324B
cs_j5942_NMNAT1,NMNAT1
cs_q8697_FZR1,FZR1
cs_b5157_COLEC11,COLEC11
cs_b6371_KCTD9,KCTD9
cs_b11614_CAPN1,CAPN1
cs_j6807_YIPF2,YIPF2
